age,job,marital,education,default,balance,housing,loan,contact,day,month,duration
40,self-employed,married,primary,no,2077,yes,no,cellular,13,may,363
33,technician,divorced,tertiary,no,39,no,no,cellular,19,aug,123
36,blue-collar,married,secondary,no,439,yes,no,unknown,21,may,260
55,housemaid,married,secondary,no,139,no,no,cellular,22,aug,256
33,admin.,married,tertiary,no,79,yes,no,cellular,22,oct,249
30,self-employed,married,secondary,no,123,no,yes,unknown,17,jul,66
60,admin.,married,secondary,no,-396,yes,no,cellular,11,may,443
44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,257
35,management,married,tertiary,no,8,no,no,cellular,23,apr,93
34,management,married,tertiary,no,2594,yes,no,cellular,21,nov,161
39,technician,single,tertiary,no,1043,no,no,cellular,18,aug,195
40,blue-collar,married,secondary,no,326,yes,yes,cellular,7,jul,112
47,technician,married,secondary,no,-938,yes,no,unknown,28,may,176
38,unemployed,married,primary,no,-363,no,no,unknown,12,jun,340
57,admin.,divorced,unknown,no,887,no,no,unknown,20,jun,43
55,management,married,tertiary,no,540,no,no,cellular,19,nov,124
32,blue-collar,married,secondary,no,2,yes,no,cellular,15,may,16
48,technician,divorced,secondary,yes,20,no,no,cellular,27,aug,145
33,blue-collar,married,secondary,no,640,yes,no,cellular,3,feb,439
34,management,single,tertiary,no,0,no,no,cellular,21,aug,191
46,admin.,married,secondary,no,22,yes,no,cellular,7,aug,414
32,technician,married,unknown,no,14533,no,no,cellular,31,dec,646
29,management,married,tertiary,no,451,no,no,cellular,28,jan,451
34,services,married,secondary,no,1337,no,no,cellular,17,dec,330
34,management,single,tertiary,no,84,no,no,cellular,5,feb,231
32,blue-collar,married,secondary,no,1787,yes,no,cellular,12,may,87
33,management,single,secondary,no,1558,yes,no,cellular,17,apr,97
33,admin.,married,secondary,no,0,yes,no,telephone,17,jul,1448
35,management,divorced,tertiary,no,160,yes,no,unknown,4,jun,141
38,management,married,tertiary,no,12877,no,no,unknown,17,jun,118
48,technician,married,secondary,no,7020,no,no,cellular,6,aug,80
34,blue-collar,married,tertiary,no,20,no,no,unknown,4,oct,10
43,technician,married,tertiary,no,192,no,no,cellular,5,aug,203
30,technician,single,tertiary,no,-970,no,yes,cellular,21,aug,194
40,management,single,unknown,no,838,yes,no,unknown,12,may,619
25,student,single,secondary,no,1790,no,no,cellular,17,apr,224
47,housemaid,married,primary,no,201,yes,no,cellular,7,aug,58
69,retired,married,tertiary,no,473,no,no,cellular,7,jul,112
37,self-employed,married,secondary,no,487,no,yes,cellular,27,aug,155
40,services,married,secondary,no,9374,yes,no,cellular,21,nov,7
51,blue-collar,married,unknown,no,1883,yes,no,unknown,5,may,57
41,blue-collar,married,primary,no,1172,yes,no,unknown,15,may,153
43,blue-collar,married,primary,no,255,yes,no,cellular,17,jul,180
40,management,married,tertiary,no,8969,yes,no,cellular,17,nov,153
36,management,single,tertiary,no,260,yes,no,cellular,7,may,49
37,technician,married,secondary,no,1063,yes,no,cellular,31,jul,413
33,blue-collar,single,secondary,no,-320,no,no,cellular,18,may,268
60,management,married,tertiary,no,759,no,no,cellular,14,aug,136
32,self-employed,married,primary,no,286,yes,no,cellular,6,aug,175
52,blue-collar,married,primary,no,1331,yes,no,cellular,29,jul,213
40,self-employed,married,primary,no,2077,yes,no,cellular,13,may,363
56,blue-collar,married,primary,no,379,no,no,cellular,13,aug,58
42,blue-collar,married,primary,no,969,yes,no,cellular,13,may,721
58,retired,married,primary,no,4007,no,no,cellular,30,nov,598
34,blue-collar,married,secondary,no,622,yes,no,unknown,21,may,145
47,technician,married,secondary,no,-938,yes,no,unknown,28,may,176
54,blue-collar,divorced,primary,no,-182,no,no,cellular,9,jul,98
31,technician,married,secondary,no,3706,yes,no,cellular,20,nov,129
33,blue-collar,married,secondary,no,139,yes,yes,cellular,18,may,732
50,management,married,tertiary,no,78,yes,no,cellular,14,jan,218
54,blue-collar,married,primary,no,781,yes,no,unknown,9,may,103
24,student,single,secondary,no,822,no,no,cellular,27,oct,184
29,management,married,tertiary,no,877,no,no,cellular,3,feb,166
27,technician,single,secondary,no,235,yes,no,cellular,12,may,13
38,services,married,secondary,no,-140,no,no,unknown,25,jun,456
33,blue-collar,married,secondary,no,26,yes,no,cellular,17,apr,342
45,blue-collar,married,primary,no,137,yes,yes,unknown,16,may,187
51,blue-collar,divorced,primary,no,37,yes,no,cellular,13,may,341
36,management,married,tertiary,no,495,no,no,cellular,12,mar,213
28,services,single,secondary,no,94,yes,no,cellular,16,apr,300
49,services,married,secondary,no,1114,no,no,cellular,17,nov,283
31,admin.,single,secondary,no,223,yes,no,cellular,17,apr,508
56,unemployed,divorced,primary,no,1770,no,no,cellular,5,feb,916
31,blue-collar,married,secondary,no,472,yes,no,unknown,13,may,907
33,management,single,tertiary,no,3170,no,no,cellular,28,oct,246
32,technician,married,secondary,yes,4,yes,yes,cellular,25,aug,132
43,management,single,secondary,yes,-1164,yes,yes,cellular,18,jul,76
31,unemployed,married,tertiary,no,7744,no,no,cellular,26,aug,377
50,management,married,tertiary,no,78,yes,no,cellular,14,jan,218
35,admin.,married,secondary,yes,0,no,yes,unknown,4,jul,105
32,technician,married,unknown,no,14533,no,no,cellular,31,dec,646
36,blue-collar,married,secondary,no,1587,yes,no,cellular,28,jul,200
30,admin.,married,secondary,no,2678,yes,no,cellular,18,may,23
34,services,married,secondary,no,1337,no,no,cellular,17,dec,330
34,services,married,secondary,no,-315,yes,no,unknown,8,may,56
30,services,single,primary,no,79,yes,no,cellular,15,may,317
34,blue-collar,married,unknown,no,41,yes,no,cellular,6,may,34
37,technician,single,secondary,yes,375,no,no,unknown,9,jun,223
41,blue-collar,married,secondary,no,338,yes,no,unknown,14,may,87
40,admin.,divorced,secondary,no,212,no,no,unknown,7,jan,176
48,services,married,secondary,yes,-20,no,no,cellular,20,aug,142
34,blue-collar,married,unknown,no,41,yes,no,cellular,6,may,34
37,blue-collar,divorced,secondary,no,33,yes,no,cellular,20,nov,106
45,management,married,tertiary,no,-206,yes,no,cellular,6,may,337
35,self-employed,single,secondary,no,1732,no,no,telephone,21,nov,1441
59,admin.,married,secondary,no,817,no,no,cellular,9,apr,304
34,technician,married,secondary,no,-136,yes,yes,cellular,12,aug,131
29,student,single,unknown,no,145,no,no,cellular,14,aug,105
59,retired,married,unknown,no,0,no,no,unknown,8,may,425
32,blue-collar,married,primary,no,415,yes,no,unknown,2,jun,777
61,retired,married,secondary,no,2917,no,no,cellular,6,oct,215
38,unemployed,married,primary,no,-363,no,no,unknown,12,jun,340
35,admin.,married,secondary,yes,0,no,yes,unknown,4,jul,105
52,blue-collar,married,secondary,no,2087,yes,no,cellular,31,aug,267
24,student,single,secondary,no,822,no,no,cellular,27,oct,184
47,services,divorced,secondary,no,691,no,no,cellular,6,feb,285
43,blue-collar,single,primary,no,2,yes,no,cellular,30,jul,783
50,technician,married,secondary,no,-568,yes,yes,unknown,28,may,860
80,housemaid,married,primary,no,0,no,no,cellular,23,feb,639
32,blue-collar,married,secondary,no,759,yes,no,cellular,9,apr,317
37,technician,single,secondary,yes,375,no,no,unknown,9,jun,223
39,blue-collar,married,primary,no,385,yes,no,unknown,16,may,225
44,management,married,tertiary,no,17361,no,no,unknown,18,jun,476
60,technician,single,tertiary,no,2934,no,no,cellular,8,aug,233
32,blue-collar,married,secondary,no,1787,yes,no,cellular,12,may,87
46,self-employed,married,secondary,no,548,no,no,cellular,12,aug,1181
40,management,married,tertiary,no,8969,yes,no,cellular,17,nov,153
32,blue-collar,single,secondary,no,53,yes,no,cellular,18,nov,276
46,admin.,married,secondary,no,179,yes,no,cellular,29,jan,194
30,blue-collar,single,secondary,no,445,yes,no,cellular,16,apr,218
31,blue-collar,married,secondary,no,-498,yes,no,cellular,21,jul,357
52,technician,married,secondary,no,195,yes,no,cellular,18,feb,220
53,blue-collar,single,secondary,no,5715,no,no,cellular,28,jan,287
49,management,divorced,tertiary,no,1405,no,no,unknown,8,jun,29
55,housemaid,married,secondary,no,139,no,no,cellular,22,aug,256
54,blue-collar,divorced,primary,no,-182,no,no,cellular,9,jul,98
26,technician,single,tertiary,no,1216,yes,no,cellular,16,apr,472
49,retired,married,primary,no,1672,no,no,cellular,17,jul,128
40,management,married,tertiary,no,8969,yes,no,cellular,17,nov,153
33,technician,divorced,secondary,no,0,yes,no,cellular,7,may,177
33,housemaid,married,primary,no,212,yes,no,cellular,11,jul,260
25,student,single,secondary,no,1790,no,no,cellular,17,apr,224
30,blue-collar,married,primary,no,1317,yes,no,unknown,21,may,395
43,blue-collar,married,secondary,no,699,yes,yes,cellular,20,nov,1258
51,blue-collar,divorced,primary,no,37,yes,no,cellular,13,may,341
34,technician,married,tertiary,no,691,yes,yes,unknown,2,jun,70
50,technician,divorced,secondary,no,-54,yes,yes,cellular,13,may,698
52,services,married,secondary,no,-888,no,no,cellular,16,jul,135
44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,257
56,blue-collar,divorced,primary,no,3021,no,no,unknown,9,jun,419
51,self-employed,married,tertiary,no,2007,no,no,unknown,16,jun,1021
40,services,married,secondary,no,-342,yes,no,unknown,26,may,754
31,unemployed,married,tertiary,no,7744,no,no,cellular,26,aug,377
50,management,married,tertiary,no,78,yes,no,cellular,14,jan,218
35,technician,single,secondary,no,-51,no,no,unknown,2,jul,134
69,retired,married,tertiary,no,473,no,no,cellular,7,jul,112
24,student,single,secondary,no,822,no,no,cellular,27,oct,184
25,student,single,secondary,no,1790,no,no,cellular,17,apr,224
57,admin.,divorced,primary,no,179,yes,no,cellular,15,may,67
60,admin.,married,secondary,no,-396,yes,no,cellular,11,may,443
33,services,married,primary,no,6904,no,no,telephone,20,nov,114
25,blue-collar,married,primary,yes,-589,yes,no,unknown,3,jun,233
37,management,married,tertiary,no,347,yes,no,cellular,22,jul,282
32,technician,married,secondary,yes,4,yes,yes,cellular,25,aug,132
32,blue-collar,single,secondary,no,53,yes,no,cellular,18,nov,276
40,management,single,unknown,no,838,yes,no,unknown,12,may,619
38,admin.,married,tertiary,no,605,no,no,cellular,18,nov,147
79,retired,married,primary,no,8556,no,no,telephone,18,jan,326
53,management,married,secondary,no,66,no,yes,telephone,8,jul,141
41,self-employed,married,tertiary,no,231,no,no,cellular,7,aug,352
29,entrepreneur,married,secondary,no,452,yes,no,unknown,27,may,347
30,services,single,primary,no,79,yes,no,cellular,15,may,317
60,management,married,tertiary,no,759,no,no,cellular,14,aug,136
30,admin.,married,secondary,no,2678,yes,no,cellular,18,may,23
30,self-employed,married,secondary,no,123,no,yes,unknown,17,jul,66
